date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:11	112/112	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2014:40:11%20GMT	https://home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist//dist/excalidraw-assets/Virgil.woff2	/app/home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Virgil.10.delayed	(from https://home.amgoyal.com/trilium/share/api/images/p6woNXg7ft3r/Canvas?0.8445667847139584)
14:40:12	24/24	---M--	404	error ('Not%20Found')	application/json	date:Mon,%2021%20Oct%202024%2014:40:12%20GMT	https://home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Virgil.woff2	/app/home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Virgil.woff2	(from https://home.amgoyal.com/trilium/share/api/images/p6woNXg7ft3r/Canvas?0.8445667847139584)
14:40:13	114/114	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2014:40:13%20GMT	https://home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist//dist/excalidraw-assets/Cascadia.woff2	/app/home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Cascadia.woff2	(from https://home.amgoyal.com/trilium/share/api/images/p6woNXg7ft3r/Canvas?0.8445667847139584)
14:40:14	24/24	---M--	404	error ('Not%20Found')	application/json	date:Mon,%2021%20Oct%202024%2014:40:14%20GMT	https://home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Cascadia.woff2	/app/home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Cascadia.woff2	(from https://home.amgoyal.com/trilium/share/api/images/p6woNXg7ft3r/Canvas?0.8445667847139584)
14:40:15	123/123	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2014:40:15%20GMT	https://home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist//dist/excalidraw-assets/Assistant-Regular.woff2	/app/home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Assistant-Regular.woff2	(from https://home.amgoyal.com/trilium/share/api/images/p6woNXg7ft3r/Canvas?0.8445667847139584)
14:40:16	24/24	---M--	404	error ('Not%20Found')	application/json	date:Mon,%2021%20Oct%202024%2014:40:16%20GMT	https://home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Assistant-Regular.woff2	/app/home.amgoyal.com/node_modules/@excalidraw/excalidraw/dist/dist/excalidraw-assets/Assistant-Regular.woff2	(from https://home.amgoyal.com/trilium/share/api/images/p6woNXg7ft3r/Canvas?0.8445667847139584)
14:40:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2014:40:17%20GMT	http://www.w3.org/1999/xhtml	/app/www.w3.org/1999/xhtml.16.delayed	(from https://home.amgoyal.com/trilium/share/api/images/2RklPHyE7zqf/API%20Mermaid.svg?0.36216196741326057)
14:40:18	238/238	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2014:40:18%20GMT	https://www.w3.org/1999/xhtml	/app/www.w3.org/1999/xhtml.17.delayed	(from https://home.amgoyal.com/trilium/share/api/images/2RklPHyE7zqf/API%20Mermaid.svg?0.36216196741326057)
14:40:20	1045/1045	---M-Z	200	added ('OK')	text/plain	etag:%22ce5-61fbb6cebc4c0-gzip%22	https://www.w3.org/robots.txt		(from https://home.amgoyal.com/trilium/share/api/images/2RklPHyE7zqf/API%20Mermaid.svg?0.36216196741326057)
14:40:20	2725/2725	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202016%2014:16:54%20GMT	https://www.w3.org/1999/xhtml/	/app/www.w3.org/1999/xhtml/index.html	(from https://home.amgoyal.com/trilium/share/api/images/2RklPHyE7zqf/API%20Mermaid.svg?0.36216196741326057)
