date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:17	14852/14852	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202007%2002:59:16%20GMT	https://www.w3.org/2003/g/data-view	/app/www.w3.org/2003/g/data-view.html	(from https://www.w3.org/1999/xhtml/)
18:38:18	241/241	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:18%20GMT	https://www.w3.org/Icons/WWW/w3c_home	/app/www.w3.org/Icons/WWW/w3c_home	(from https://www.w3.org/1999/xhtml/)
18:38:18	32864/32864	---M--	200	added ('OK')	application/xslt+xml	etag:%228060-457a601f71400;602036928ea96	https://www.w3.org/2008/07/rdfa-xslt	/app/www.w3.org/2008/07/rdfa-xslt	(from https://www.w3.org/1999/xhtml/)
18:38:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:19%20GMT	https://www.w3.org/Icons/w3c_home	/app/www.w3.org/Icons/w3c_home	(from https://www.w3.org/1999/xhtml/)
18:38:21	6833/6833	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22753446ac42906c03c00cea2f31292811%22	https://www.w3.org/assets/logos/w3c/w3c-no-bars.svg	/app/www.w3.org/assets/logos/w3c/w3c-no-bars.svg	(from https://www.w3.org/1999/xhtml/)
18:38:21	237/237	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:21%20GMT	https://www.w3.org/TR/xhtml1	/app/www.w3.org/TR/xhtml1	(from https://www.w3.org/1999/xhtml/)
18:38:22	56760/56760	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2018:38:21%20GMT	https://www.w3.org/	/app/www.w3.org/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:22	251/251	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:22%20GMT	https://www.w3.org/TR/xhtml-modularization	/app/www.w3.org/TR/xhtml-modularization.18.delayed	(from https://www.w3.org/1999/xhtml/)
18:38:23	249/249	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2021%20Oct%202024%2018:38:22%20GMT	https://www.w3.org/TR/html5/	/app/www.w3.org/TR/html5/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:23	238/238	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:23%20GMT	https://www.w3.org/TR/xhtml11	/app/www.w3.org/TR/xhtml11.19.delayed	(from https://www.w3.org/1999/xhtml/)
18:38:23	71087/71087	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:16:06%20GMT	https://www.w3.org/TR/xhtml1/	/app/www.w3.org/TR/xhtml1/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:24	35519/35519	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:16:05%20GMT	https://www.w3.org/TR/xhtml-modularization/	/app/www.w3.org/TR/xhtml-modularization/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:24	242/242	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:24%20GMT	https://www.w3.org/TR/xhtml-basic	/app/www.w3.org/TR/xhtml-basic	(from https://www.w3.org/1999/xhtml/)
18:38:25	11209/11209	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:16:05%20GMT	https://www.w3.org/TR/xhtml11/	/app/www.w3.org/TR/xhtml11/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:25	244/244	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:25%20GMT	https://www.w3.org/TR/REC-xml-names	/app/www.w3.org/TR/REC-xml-names	(from https://www.w3.org/1999/xhtml/)
18:38:27	235/235	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:26%20GMT	https://www.w3.org/TR/html51/	/app/www.w3.org/TR/html51/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:28	235/235	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:27%20GMT	https://www.w3.org/TR/html52/	/app/www.w3.org/TR/html52/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:29	131868/131868	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:16:06%20GMT	https://www.w3.org/TR/xhtml-basic/	/app/www.w3.org/TR/xhtml-basic/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:30	179233/179233	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:16:06%20GMT	https://www.w3.org/TR/xhtml-print/	/app/www.w3.org/TR/xhtml-print/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:30	215968/215968	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:19:11%20GMT	https://www.w3.org/TR/rdfa-syntax/	/app/www.w3.org/TR/rdfa-syntax/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:30	51390/51390	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2013:27:16%20GMT	https://www.w3.org/TR/REC-xml-names/	/app/www.w3.org/TR/REC-xml-names/index.html	(from https://www.w3.org/1999/xhtml/)
18:38:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202024%2018:38:29%20GMT	https://www.w3.org/WebPlatform/WG/	/app/www.w3.org/WebPlatform/WG/index.html	(from https://www.w3.org/1999/xhtml/)
